Data,Tipo,Descricao,Uf
2017-01-01,Nacional,Confraternização Universal,AC
2017-02-28,Nacional,Carnaval,AC
2017-04-14,Nacional,Sexta-feira Santa,AC
2017-04-21,Nacional,Tiradentes,AC
2017-05-01,Nacional,Dia do Trabalhador,AC
2017-06-15,Nacional,Corpus Christi,AC
2017-09-07,Nacional,Independência do Brasil,AC
2017-10-12,Nacional,Padroeira do Brasil,AC
2017-11-02,Nacional,Finados,AC
2017-11-15,Nacional,Proclamação da República,AC
2017-12-25,Nacional,Natal,AC
2017-01-23,Estadual,Dia do evangélico,AC
2017-05-15,Estadual,Aniversário do Acre,AC
2017-09-05,Estadual,Dia da Amazônia,AC
2017-11-17,Estadual,Assinatura do Tratado de Petrópolis,AC
2017-01-06,Comemorativa,Dia de Reis,AC
2017-03-08,Comemorativa,Dia da Mulher,AC
2017-04-16,Comemorativa,Páscoa,AC
2017-04-19,Comemorativa,Dia do Índio,AC
2017-04-22,Comemorativa,Descobrimento do Brasil,AC
2017-05-13,Comemorativa,Dia da Abolição da Escravatura,AC
2017-05-14,Comemorativa,Dia das Mães,AC
2017-06-05,Comemorativa,Dia Mundial do Meio Ambiente,AC
2017-06-12,Comemorativa,Dia dos Namorados,AC
2017-06-24,Comemorativa,Dia de São João,AC
2017-06-29,Comemorativa,Dia de São Pedro,AC
2017-07-20,Comemorativa,Dia do Amigo e Internacional da Amizade,AC
2017-08-13,Comemorativa,Dia dos Pais,AC
2017-10-15,Comemorativa,Dia do Professor,AC
2017-11-20,Comemorativa,Dia Nacional da Consciência Negra,AC
2017-01-01,Nacional,Confraternização Universal,AL
2017-02-28,Nacional,Carnaval,AL
2017-04-14,Nacional,Sexta-feira Santa,AL
2017-04-21,Nacional,Tiradentes,AL
2017-05-01,Nacional,Dia do Trabalhador,AL
2017-06-15,Nacional,Corpus Christi,AL
2017-09-07,Nacional,Independência do Brasil,AL
2017-10-12,Nacional,Padroeira do Brasil,AL
2017-11-02,Nacional,Finados,AL
2017-11-15,Nacional,Proclamação da República,AL
2017-12-25,Nacional,Natal,AL
2017-06-24,Estadual,São João,AL
2017-06-29,Estadual,São Pedro,AL
2017-09-16,Estadual,Emancipação Política de Alago,AL
2017-11-20,Estadual,Conscriência Negra,AL
2017-01-06,Comemorativa,Dia de Reis,AL
2017-03-08,Comemorativa,Dia da Mulher,AL
2017-04-16,Comemorativa,Páscoa,AL
2017-04-19,Comemorativa,Dia do Índio,AL
2017-04-22,Comemorativa,Descobrimento do Brasil,AL
2017-05-13,Comemorativa,Dia da Abolição da Escravatura,AL
2017-05-14,Comemorativa,Dia das Mães,AL
2017-06-05,Comemorativa,Dia Mundial do Meio Ambiente,AL
2017-06-12,Comemorativa,Dia dos Namorados,AL
2017-07-20,Comemorativa,Dia do Amigo e Internacional da Amizade,AL
2017-08-13,Comemorativa,Dia dos Pais,AL
2017-10-15,Comemorativa,Dia do Professor,AL
2017-01-01,Nacional,Confraternização Universal,AP
2017-02-28,Nacional,Carnaval,AP
2017-04-14,Nacional,Sexta-feira Santa,AP
2017-04-21,Nacional,Tiradentes,AP
2017-05-01,Nacional,Dia do Trabalhador,AP
2017-06-15,Nacional,Corpus Christi,AP
2017-09-07,Nacional,Independência do Brasil,AP
2017-10-12,Nacional,Padroeira do Brasil,AP
2017-11-02,Nacional,Finados,AP
2017-11-15,Nacional,Proclamação da República,AP
2017-12-25,Nacional,Natal,AP
2017-03-19,Estadual,Dia de São José,AP
2017-07-25,Estadual,São Tiago,AP
2017-10-05,Estadual,Criação do Estado do Amapá,AP
2017-11-20,Estadual,Conscriência Negra,AP
2017-01-06,Comemorativa,Dia de Reis,AP
2017-03-08,Comemorativa,Dia da Mulher,AP
2017-04-16,Comemorativa,Páscoa,AP
2017-04-19,Comemorativa,Dia do Índio,AP
2017-04-22,Comemorativa,Descobrimento do Brasil,AP
2017-05-13,Comemorativa,Dia da Abolição da Escravatura,AP
2017-05-14,Comemorativa,Dia das Mães,AP
2017-06-05,Comemorativa,Dia Mundial do Meio Ambiente,AP
2017-06-12,Comemorativa,Dia dos Namorados,AP
2017-06-24,Comemorativa,Dia de São João,AP
2017-06-29,Comemorativa,Dia de São Pedro,AP
2017-07-20,Comemorativa,Dia do Amigo e Internacional da Amizade,AP
2017-08-13,Comemorativa,Dia dos Pais,AP
2017-10-15,Comemorativa,Dia do Professor,AP
2017-01-01,Nacional,Confraternização Universal,AM
2017-02-28,Nacional,Carnaval,AM
2017-04-14,Nacional,Sexta-feira Santa,AM
2017-04-21,Nacional,Tiradentes,AM
2017-05-01,Nacional,Dia do Trabalhador,AM
2017-06-15,Nacional,Corpus Christi,AM
2017-09-07,Nacional,Independência do Brasil,AM
2017-10-12,Nacional,Padroeira do Brasil,AM
2017-11-02,Nacional,Finados,AM
2017-11-15,Nacional,Proclamação da República,AM
2017-12-25,Nacional,Natal,AM
2017-09-05,Estadual,Elevação do Amazonas à categoria de,AM
2017-11-20,Estadual,Conscriência Negra,AM
2017-12-08,Estadual,Dia de Nossa Senhora da Conceição,AM
2017-01-06,Comemorativa,Dia de Reis,AM
2017-03-08,Comemorativa,Dia da Mulher,AM
2017-04-16,Comemorativa,Páscoa,AM
2017-04-19,Comemorativa,Dia do Índio,AM
2017-04-22,Comemorativa,Descobrimento do Brasil,AM
2017-05-13,Comemorativa,Dia da Abolição da Escravatura,AM
2017-05-14,Comemorativa,Dia das Mães,AM
2017-06-05,Comemorativa,Dia Mundial do Meio Ambiente,AM
2017-06-12,Comemorativa,Dia dos Namorados,AM
2017-06-24,Comemorativa,Dia de São João,AM
2017-06-29,Comemorativa,Dia de São Pedro,AM
2017-07-20,Comemorativa,Dia do Amigo e Internacional da Amizade,AM
2017-08-13,Comemorativa,Dia dos Pais,AM
2017-10-15,Comemorativa,Dia do Professor,AM
2017-01-01,Nacional,Confraternização Universal,BA
2017-02-28,Nacional,Carnaval,BA
2017-04-14,Nacional,Sexta-feira Santa,BA
2017-04-21,Nacional,Tiradentes,BA
2017-05-01,Nacional,Dia do Trabalhador,BA
2017-06-15,Nacional,Corpus Christi,BA
2017-09-07,Nacional,Independência do Brasil,BA
2017-10-12,Nacional,Padroeira do Brasil,BA
2017-11-02,Nacional,Finados,BA
2017-11-15,Nacional,Proclamação da República,BA
2017-12-25,Nacional,Natal,BA
2017-07-02,Estadual,Independência da Bahia,BA
2017-01-06,Comemorativa,Dia de Reis,BA
2017-03-08,Comemorativa,Dia da Mulher,BA
2017-04-16,Comemorativa,Páscoa,BA
2017-04-19,Comemorativa,Dia do Índio,BA
2017-04-22,Comemorativa,Descobrimento do Brasil,BA
2017-05-13,Comemorativa,Dia da Abolição da Escravatura,BA
2017-05-14,Comemorativa,Dia das Mães,BA
2017-06-05,Comemorativa,Dia Mundial do Meio Ambiente,BA
2017-06-12,Comemorativa,Dia dos Namorados,BA
2017-06-24,Comemorativa,Dia de São João,BA
2017-06-29,Comemorativa,Dia de São Pedro,BA
2017-07-20,Comemorativa,Dia do Amigo e Internacional da Amizade,BA
2017-08-13,Comemorativa,Dia dos Pais,BA
2017-10-15,Comemorativa,Dia do Professor,BA
2017-11-20,Comemorativa,Dia Nacional da Consciência Negra,BA
2017-01-01,Nacional,Confraternização Universal,CE
2017-02-28,Nacional,Carnaval,CE
2017-04-14,Nacional,Sexta-feira Santa,CE
2017-04-21,Nacional,Tiradentes,CE
2017-05-01,Nacional,Dia do Trabalhador,CE
2017-06-15,Nacional,Corpus Christi,CE
